"","sdr_id","sdr_name","country","year","iwi","edyr","edyr_fem","edyr_male","urban","wrk_lnagr","wrk_unagr","tv","phone","electr","small_house","large_house","qual_floor","bad_floor","tap_water","bad_water","flush_toilet","bad_toilet","age09","age1019","age2029","age3039","age4049","age5059","age6069","age7079","age8089","age90hi","nChurch","nMission","nMosque","nTemple"
"1",1,"Boke","Guinea",2012,36.3,3.4,2.2,4.7,34.2,29.8,6.4,25.3,68.1,21.1,8.5,70.7,4.2,50.4,25.8,29.7,21.6,64.1,31.2,24.5,12.7,8.7,6.9,8.1,4.5,2.5,0.8,0.1,NA,NA,NA,NA
"2",2,"Conakry","Guinea",2012,72.6,7.3,5.7,9,100,73.2,23.1,85.2,97.6,94,12.7,56.8,33,5.1,84.7,0.9,62.5,8.9,25.3,26.4,19.8,11,6.8,5.7,3.5,1.1,0.4,0.1,NA,NA,NA,NA
"3",3,"Faranah","Guinea",2012,26.3,1.8,0.8,3.1,19.4,27.9,3,9.4,48.5,8.2,7.3,70.3,1.3,61.9,3.2,22.9,4.2,74.9,35.2,25.3,11,9,7.9,5.9,3.9,1.3,0.4,0.1,NA,NA,NA,NA
"4",4,"Kankan","Guinea",2012,31,1.5,0.7,2.4,13.7,20.6,3,15.6,63.1,9.4,6.1,74.3,1.6,66.4,8,19.6,1.9,71.3,36.5,23.8,12,9.4,7,5.6,3.6,1.5,0.5,0.1,NA,NA,NA,NA
"5",5,"Kindia","Guinea",2012,34.1,2.7,1.7,3.9,23.1,36.8,5,25.6,64.3,24.7,9.9,73.1,7.4,47.3,11.1,46.5,17.5,58,34.2,23.2,12.5,9.6,6.6,6,4.4,2.5,0.7,0.2,NA,NA,NA,NA
"6",6,"Labe","Guinea",2012,26.2,1.7,1.1,2.9,5.4,55.6,3.6,7.3,66.3,5.4,15.5,56.5,2.4,51.3,2,39.3,4.5,65.2,34,21.5,9.6,8.4,7.1,7.5,6.7,3.2,1.8,0.2,NA,NA,NA,NA
"7",7,"Mamou","Guinea",2012,28.4,1.5,0.9,2.8,9,34.1,1.8,10.3,69.9,10.1,13.8,56.8,3.6,41.1,4.1,49.2,7.8,69,33.4,21.7,9.3,8,8,8.3,5.7,3.7,1.4,0.3,NA,NA,NA,NA
"8",8,"Nzerekore","Guinea",2012,28,2.9,1.5,4.5,14.9,22.3,5.6,8.1,57.3,4.9,6.4,73.7,2.7,48.7,2.1,17.1,3.4,62.2,34.1,23.9,12.9,9.6,7.4,5.5,4.1,1.8,0.5,0.1,NA,NA,NA,NA
"9",5513,"Bomi","Liberia",2013,22.4,4.8,3,6.7,22.6,44.9,9.4,5.6,55.8,0.4,25.2,43.3,2.7,56.1,0,20.2,3.1,73.2,34.3,23.1,13.1,10.3,7.2,5.9,3.4,1.7,0.7,0.2,0,1,1,0
"10",5514,"Bong","Liberia",2013,19.5,3.3,1.8,4.9,38.9,19.8,4.9,2.4,56.8,0,26.4,42.8,1.2,73.3,0.2,43.6,2.8,78.1,34.9,19.1,12.3,11.8,8.2,6.9,4.1,2.1,0.7,0,2,1,0,0
"11",5515,"Gbarpolu","Liberia",2013,18.2,3.8,2.1,5.5,20.5,33.2,9,1.9,38,2,23.8,47.9,1,79.9,0,40.1,2.7,71.6,35.1,19.5,13.3,12.2,8.5,5,4,1.9,0.4,0,0,2,0,0
"12",5516,"Grand Bassa","Liberia",2013,22.7,3.8,2.2,5.2,35.2,39.6,10.1,10.7,54.2,3.4,35.8,30.6,4.3,61.9,0.5,53.1,10.5,68.6,32.5,20.8,11.9,11.3,9.2,7.8,3.6,1.9,0.6,0.4,4,2,1,0
"13",5517,"Grand Cape Mount","Liberia",2013,21.3,3.3,1.6,4.9,6.2,52.8,5.3,3.7,51.1,3.2,13.4,58.4,0.8,68.1,0,36.8,1,80.5,37.8,18.4,12,12.6,8.4,5.4,3.5,1.5,0.3,0.2,2,2,0,0
"14",5518,"Grand Gedeh","Liberia",2013,23.9,5.3,3.8,6.8,46.6,41,10.9,5.5,50.9,2.2,16.6,58.8,2.6,69.5,0,13.6,1.9,64.1,32.2,21,14,11.1,6.8,6.7,4.4,2.4,1.1,0.4,3,0,1,0
"15",5519,"Grand Kru","Liberia",2013,18.2,4.8,2.4,7.2,4.6,47.8,9.8,2.8,48.3,0.5,12.6,58.2,4,81.4,0,65.8,0.5,78.3,34.5,20.9,12.7,11,9.3,6.2,3.5,1.4,0.4,0,NA,NA,NA,NA
"16",5520,"Lofa","Liberia",2013,20.9,3.9,2,5.9,30.9,15.6,9.9,0.7,43.3,0.9,8.8,70.9,0.9,73.2,0.2,26.9,2.9,66.2,33.2,20.8,14.1,11.2,6.9,6.4,3.4,2.5,1.2,0.4,NA,NA,NA,NA
"17",5521,"Margibi","Liberia",2013,32.8,5.1,3.3,6.9,43,49.8,10.4,17.6,76.1,7.9,15.4,36.2,7.3,39.9,0.3,26.2,27.5,48.6,32.4,24.3,13.7,10.5,9.2,5.1,2.7,1.4,0.6,0.1,9,1,0,0
"18",5522,"Maryland","Liberia",2013,26.2,5.7,4,7.3,52.4,45.1,10.7,7.7,63.3,2,21.5,53.4,2.9,53.6,0.2,12.3,2,57.7,33,25.7,14.3,10,7.3,4.9,2.9,1.5,0.2,0.1,0,3,0,0
"19",5523,"Montserrado","Liberia",2013,45.9,8.2,6.9,9.5,93.4,71.7,16,39,92.3,26.2,31.3,40.4,19.7,13,10.5,14.6,42,31.7,28.1,25.8,18.4,11.8,7.3,4.8,2.5,1,0.3,0.1,109,3,6,2
"20",5524,"Nimba","Liberia",2013,25.9,5.4,4.2,6.7,61.9,38.3,5.3,2.9,62.4,0.7,12.8,66.6,0.8,51.7,0,18.5,4.7,70.8,35.1,20.9,13.4,9.6,7.5,6.6,3.4,1.9,1.1,0.6,7,2,1,0
"21",77115,"River Cess County","Liberia",2013,15.3,3.5,1.6,5.3,4.4,36.6,5.5,2.2,41,2.8,19.3,55.7,0.8,92.4,0,75.9,0.1,89.6,37.2,19.8,12.9,11.2,7.8,5.9,3,1.5,0.3,0.5,0,1,0,0
"22",5525,"River Gee","Liberia",2013,21.9,4.7,3,6.2,23.9,43.6,8,5,50.4,3.4,17.7,47.9,0.4,74.5,0.3,39.5,1.4,60.9,33.9,17.2,15.3,13.8,7.8,6.1,3.7,1.8,0.3,0,NA,NA,NA,NA
"23",5526,"Sinoe","Liberia",2013,17.5,4.6,2.6,6.4,17.5,41.2,9,4.5,34.7,5,23.9,46,1.6,84.7,0.4,49.1,1.3,79.5,33.8,20.6,13,12,7.8,7.9,3,1,0.8,0.2,0,1,0,0
"24",8623,"Bombali","Sierra Leone",2013,24.6,3.5,2.5,4.6,28.3,23.7,9.4,7.9,56.2,9.7,11.2,59.1,2.5,62.3,1,48.3,4.4,47.9,31.3,26.2,12.4,10.4,7.7,5.2,3.9,2.4,0.5,0.1,NA,NA,NA,NA
"25",8627,"Kambia","Sierra Leone",2013,22.1,1.9,1.1,3,12.2,10.5,5.5,6.1,55.9,0.6,4.5,77,0.9,77,0.1,79.1,0.5,46.7,35.9,23,10.5,10,8.8,4.9,3.7,2.1,0.9,0.1,NA,NA,NA,NA
"26",8629,"Koinadugu","Sierra Leone",2013,16.2,1.6,1,2.4,8.3,17,5,3.4,28.8,0.8,12.5,64.1,3.2,77.2,0.2,73.4,0.9,76.8,36.4,21.5,12,10.1,7,6.2,4,2.2,0.7,0.1,NA,NA,NA,NA
"27",8632,"Port Loko","Sierra Leone",2013,22.4,2.9,2,4.2,14.1,28.1,5.4,4.2,62.1,2,10.7,65.3,2,65.8,0.9,60,0.3,59.7,35.5,21.8,12.8,10.5,7.8,5.1,4,1.8,0.6,0.1,NA,NA,NA,NA
"28",8634,"Tonkolili","Sierra Leone",2013,21.6,2.7,1.9,3.6,10.2,28.4,8.5,4.3,50.1,0.9,11.3,65.6,1.2,65.2,1.5,48.3,0.4,59.3,35.2,21.9,13.2,11.6,7,4.8,3.7,2,0.6,0.1,NA,NA,NA,NA
"29",8626,"Kailahun","Sierra Leone",2013,18.1,3,2,4.3,16,28,4.5,2.5,37.8,0.9,17.1,55.8,1.1,81.5,2.9,41.1,0.5,64.9,34.6,18.5,10.9,13,7.8,6.1,4.6,2.7,1.2,0.5,NA,NA,NA,NA
"30",8628,"Kenema","Sierra Leone",2013,27.7,3.4,2.4,4.5,38.8,33.3,4.6,12.9,59.4,16.1,14.7,58.2,3.9,59.5,3,22.8,2.6,43.5,31.7,21.8,13.1,11.8,7.9,5.8,5,2.1,0.5,0.3,NA,NA,NA,NA
"31",8630,"Kono","Sierra Leone",2013,20.5,2.6,1.6,3.8,25.4,34,4.9,2.9,42.4,1.1,13.4,59.8,1.6,69.7,0.4,38.2,1.4,50.3,35.8,23,12.1,10.6,7.9,4.8,3.7,1.7,0.3,0.1,NA,NA,NA,NA
"32",8625,"Bo","Sierra Leone",2013,27.6,3.6,2.6,4.7,28.4,33.4,7.9,14.9,56.9,15.4,14.5,58.3,2.6,54,0.7,27.4,2.6,40.2,35.7,22,13,11.2,7.5,5,3.5,1.6,0.4,0.1,NA,NA,NA,NA
"33",8624,"Bonthe","Sierra Leone",2013,18.8,2.3,1.8,2.8,16.6,17.8,2.6,3.2,50.3,0.5,10.1,64.6,0.8,67.7,0.3,68.7,0.4,81.7,32.6,23.4,14.2,10.7,7.4,5.8,3.7,1.7,0.5,0.1,NA,NA,NA,NA
"34",8631,"Moyamba","Sierra Leone",2013,18,2.3,1.5,3.3,5.7,12.4,3.8,2.2,47.7,0.7,10.1,68.3,0.7,79.4,0.3,66.9,1,70.6,32.7,20.3,12,11.7,8,7.1,4.5,2.6,0.9,0.2,NA,NA,NA,NA
"35",8633,"Pujehun","Sierra Leone",2013,22.7,1.9,1.4,2.4,14.1,37.1,4.5,2.3,62.2,0.9,15.1,56.3,1.7,70.9,0.6,26.1,1,57.7,37.9,18,10.9,11.7,7.3,6,4.9,2.6,0.6,0.2,NA,NA,NA,NA
