sdr_id,lambda,Region_name_unofficial,Population,Area_km2
1,0.12865625,Boke,1081445,31186
2,0.137296875,Conakry,1667864,3700
3,0.31240625,Faranah,942733,35581
4,0.01,Kankan,1986329,72145
5,0.2314375,Kindia,1559185,28873
6,NA,Labe,995717,22869
7,NA,Mamou,732117,17074
8,0.206953125,Nzerekore,1663582,37658
5513,0.154125,Bomi,84119,1932
5514,0.158847656,Bong,328919,8754
5515,0.202976563,Gbarpolu,83758,9689
5516,0.178210938,Grand Bassa,224839,7936
5517,0.153109375,Grand Cape Mount,129055,5162
5518,0.164,Grand Gedeh,126146,10484
5519,0.238773438,Grand Kru,57106,3895
5520,0.158425781,Lofa,270114,9982
5521,0.165912109,Margibi,199689,2616
5522,0.1568125,Maryland,136404,2297
5523,0.19853125,Montserrado,1144806,1909
5524,0.160119141,Nimba,462026,11551
77115,NA,Rivercess,71509,5594
5525,0.199078125,River Gee,66789,5113
5526,0.209210938,Sinoe,104932,10137
8638,NA,Kayes,1996812,119743
8640,NA,Sikasso,2625919,70280
8643,NA,Segou,2336255,64821
8642,NA,Koulikoro,2418305,90120
8641,NA,Bamako,1809106,245
8636,NA,Mopti,2037330,79017
157804,NA,Ziguinchor,523840,7352
149996,NA,Diourbel,1420082,4824
156922,NA,Tambacounda,649854,42364
150837,NA,Dakar,2956023,547
155766,NA,Thies,1709112,6670
150684,NA,Louga,835325,24889
154410,NA,Kaolack,918355,5357
156617,NA,Fatick,684652,6849
154821,NA,Kolda,"633,652",13771
8623,0.210292969,Bombali,434319,7985
8627,0.170832031,Kambia,313765,3108
8629,0.155324219,Koinadugu,265765,12121
8632,0.208242188,Port Loko,500992,5719
8634,0.269359375,Tonkolili,375363,7003
8626,0.165910156,Kenema,545327,6053
8628,0.209660156,Kailahun,409520,3859
8630,0.19090625,Kono,352328,5641
8625,0.192416016,Bonthe,140845,3468
8624,0.163988281,Moyamba,260910,6902
8631,0.181667969,Bo,561524,5473
8633,0.19134375,Pujehun,292543,4105
